open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore
1735772400000000,94802.99000000,94952.29000000,94542.00000000,94591.79000000,436.90784000,1735775999999999,41376947.06524890,68059,200.46010000,18983287.50657120,0
1735776000000000,94591.78000000,95381.70000000,94392.00000000,95128.59000000,1181.76573000,1735779599999999,112223181.11060700,178842,580.02635000,55090463.08753360,0
1735779600000000,95128.59000000,95516.00000000,94699.69000000,94862.72000000,1143.36617000,1735783199999999,108792520.60606050,123452,652.50511000,62100038.95204780,0
1735783200000000,94862.73000000,95234.37000000,94803.03000000,95234.36000000,455.65000000,1735786799999999,43302158.02985310,71796,221.53479000,21052376.43316890,0
1735786800000000,95234.37000000,95299.24000000,94913.75000000,95010.33000000,290.28586000,1735790399999999,27593868.74293390,47561,141.84373000,13482922.56923550,0
1735790400000000,95010.34000000,96000.00000000,94984.84000000,95708.07000000,925.61919000,1735793999999999,88472314.41104680,110599,528.64795000,50533631.55460100,0
1735794000000000,95708.07000000,95800.00000000,95395.21000000,95596.48000000,702.11721000,1735797599999999,67131525.59182910,79223,367.42407000,35128086.30211170,0
1735797600000000,95596.48000000,95697.01000000,95380.04000000,95574.99000000,517.46772000,1735801199999999,49408449.17906530,59246,298.97139000,28544324.82897710,0
1735801200000000,95575.00000000,95880.00000000,95505.35000000,95822.00000000,452.62773000,1735804799999999,43344714.57414300,53464,249.42978000,23884696.84303680,0
1735804800000000,95822.01000000,96211.54000000,95640.05000000,96150.00000000,844.76163000,1735808399999999,81063998.52103700,84808,448.73644000,43057598.59322980,0
1735808400000000,96150.00000000,96799.86000000,96036.86000000,96755.51000000,976.02528000,1735811999999999,94077226.32038080,108158,468.81930000,45199567.84383190,0
1735812000000000,96755.51000000,96808.37000000,96538.77000000,96708.00000000,826.74686000,1735815599999999,79924436.49895080,84692,393.93290000,38084070.86726590,0
1735815600000000,96708.00000000,96876.38000000,96469.46000000,96732.99000000,533.66374000,1735819199999999,51587913.22706100,64369,243.18454000,23508628.98077950,0
1735819200000000,96733.00000000,96895.00000000,96609.42000000,96850.01000000,677.30510000,1735822799999999,65536888.25591430,75640,299.57268000,28988085.01336200,0
1735822800000000,96850.01000000,96988.05000000,96436.00000000,96458.17000000,903.27447000,1735826399999999,87348109.23849220,95774,387.86062000,37514449.69702790,0
1735826400000000,96458.17000000,97440.91000000,95924.60000000,97256.49000000,3007.10456000,1735829999999999,290970641.12630930,352467,1544.93306000,149517808.73345450,0
1735830000000000,97256.48000000,97323.16000000,96164.78000000,96455.01000000,2007.04700000,1735833599999999,194011343.52852700,334380,904.04184000,87372415.25013550,0
1735833600000000,96455.01000000,97650.00000000,96040.04000000,97229.74000000,1725.02990000,1735837199999999,167438825.32297640,318172,911.23751000,88417872.27793480,0
1735837200000000,97229.75000000,97591.84000000,96325.44000000,96757.57000000,1272.75775000,1735840799999999,123305062.23608620,336972,564.25388000,54650773.98689460,0
1735840800000000,96757.57000000,97350.00000000,96400.00000000,97319.74000000,839.90460000,1735844399999999,81388376.67303560,298186,465.02537000,45067216.66039370,0
1735844400000000,97319.74000000,97777.00000000,97200.00000000,97317.74000000,714.40965000,1735847999999999,69635113.58999660,208680,333.95454000,32553629.85892240,0
1735848000000000,97317.74000000,97839.50000000,97300.00000000,97306.46000000,718.84680000,1735851599999999,70144870.75449890,218888,349.58694000,34112718.43683300,0
1735851600000000,97306.46000000,97355.77000000,97040.16000000,97212.68000000,394.14727000,1735855199999999,38310466.08920240,81120,180.45881000,17540159.37969050,0
1735855200000000,97212.69000000,97212.69000000,96666.66000000,96911.04000000,418.78092000,1735858799999999,40589934.98971490,96380,190.39105000,18449603.88887420,0
1735858800000000,96911.04000000,97077.78000000,96758.17000000,96984.79000000,441.78434000,1735862399999999,42809914.06355740,86210,189.59721000,18375570.29432910,0
1735862400000000,96984.79000000,97080.96000000,96796.56000000,96825.82000000,315.00973000,1735865999999999,30537528.63469520,80859,145.96153000,14150954.84192590,0
1735866000000000,96825.83000000,97000.00000000,96650.00000000,96985.47000000,342.35914000,1735869599999999,33143861.49696850,98239,161.29927000,15614907.46096310,0
1735869600000000,96985.47000000,97342.44000000,96856.98000000,96966.85000000,388.64008000,1735873199999999,37750293.21697020,95390,188.46857000,18307144.63245010,0
1735873200000000,96966.85000000,97090.91000000,96833.99000000,97062.30000000,255.74920000,1735876799999999,24802058.61931570,49698,138.78592000,13459093.77841320,0
1735876800000000,97062.30000000,97066.18000000,96766.51000000,96813.41000000,265.52213000,1735880399999999,25730011.70991530,51313,121.83622000,11806078.58499940,0
1735880400000000,96813.49000000,96860.48000000,96590.28000000,96765.34000000,316.46331000,1735883999999999,30607608.47294050,57542,150.86266000,14591417.22651530,0
1735884000000000,96765.35000000,96918.56000000,96512.00000000,96539.49000000,382.40263000,1735887599999999,36978204.55637640,52819,199.37884000,19280525.62877170,0
1735887600000000,96539.49000000,96645.83000000,96280.65000000,96304.00000000,546.86929000,1735891199999999,52735823.61682060,75732,231.64872000,22341472.66967590,0
1735891200000000,96304.00000000,96529.84000000,96100.01000000,96129.97000000,543.39121000,1735894799999999,52324864.82490850,56520,266.93581000,25708651.64061710,0
1735894800000000,96129.97000000,96702.48000000,96107.84000000,96554.32000000,527.99485000,1735898399999999,50934248.96319550,70904,324.69704000,31319443.67219670,0
1735898400000000,96554.32000000,96640.01000000,96402.82000000,96488.53000000,355.37669000,1735901999999999,34293411.11486280,51821,156.72851000,15124104.24894520,0
1735902000000000,96488.53000000,96830.00000000,96482.51000000,96757.58000000,448.41508000,1735905599999999,43366538.08356510,67414,259.14353000,25063079.32929790,0
1735905600000000,96757.57000000,96921.36000000,96666.66000000,96666.66000000,387.58240000,1735909199999999,37514578.74336360,66505,179.09312000,17334223.64365430,0
1735909200000000,96666.66000000,96839.71000000,96472.43000000,96504.79000000,630.80373000,1735912799999999,60941248.06464880,123296,274.66089000,26536648.57767650,0
1735912800000000,96504.80000000,97342.44000000,96504.79000000,97016.01000000,1390.59074000,1735916399999999,134843609.28044680,295162,723.97226000,70207602.43945080,0
1735916400000000,97016.00000000,97660.00000000,96759.12000000,97521.35000000,1587.60159000,1735919999999999,154404896.77456610,358373,760.74100000,73993676.94812630,0
1735920000000000,97521.36000000,98444.42000000,97406.54000000,97868.20000000,1899.91498000,1735923599999999,186199967.23882880,322111,1061.60850000,104035759.38198320,0
1735923600000000,97868.21000000,98299.76000000,97837.63000000,98026.00000000,799.71144000,1735927199999999,78436434.25726760,195917,371.56531000,36443428.96364940,0
1735927200000000,98025.99000000,98697.86000000,98000.00000000,98527.98000000,813.64324000,1735930799999999,80058357.75909230,165566,416.86107000,41016550.80773460,0
1735930800000000,98527.97000000,98976.91000000,98491.53000000,98592.01000000,1070.42711000,1735934399999999,105694779.46440840,180335,486.36586000,48028389.65382080,0
1735934400000000,98592.02000000,98748.00000000,98300.00000000,98311.52000000,846.16971000,1735937999999999,83341078.50106680,129730,353.01666000,34770057.58932410,0
1735938000000000,98311.51000000,98419.14000000,98196.96000000,98272.70000000,507.38037000,1735941599999999,49866462.46618930,81209,233.22721000,22925013.64531750,0
1735941600000000,98272.70000000,98512.94000000,98250.00000000,98296.37000000,317.54844000,1735945199999999,31240471.65159130,61204,130.43638000,12832399.89088350,0
1735945200000000,98296.37000000,98382.19000000,98067.99000000,98174.18000000,314.26227000,1735948799999999,30864431.07878760,63505,131.31309000,12896621.64016630,0
1735948800000000,98174.17000000,98288.00000000,97887.20000000,97950.01000000,465.14321000,1735952399999999,45618493.33925010,65530,170.88770000,16760521.64716170,0
1735952400000000,97950.01000000,98095.06000000,97800.00000000,98040.00000000,292.09859000,1735955999999999,28611491.61131120,64925,159.17303000,15592662.71363720,0
1735956000000000,98040.00000000,98314.15000000,97848.48000000,98304.51000000,368.90158000,1735959599999999,36171507.86031750,67580,221.96194000,21766315.98949260,0
1735959600000000,98304.51000000,98304.51000000,98052.97000000,98200.00000000,274.68850000,1735963199999999,26968830.43148270,42002,132.64343000,13022081.35455400,0
1735963200000000,98200.01000000,98200.01000000,97862.87000000,98001.00000000,304.49957000,1735966799999999,29830355.81246730,52442,148.18614000,14516334.73113070,0
